Time (BJD_TBD - 2450000), F_e/F_star (ppm)
9.891664838825492552e+03,5.075500642003309792e+01
9.891664861717827080e+03,5.075315410846801001e+01
9.891664884610163426e+03,5.075130181644530580e+01
9.891664907502497954e+03,5.074944954426025845e+01
9.891664930394834300e+03,5.074759729161964117e+01
9.891664953287168828e+03,5.074574505881875552e+01
9.891664976179505175e+03,5.074389284556436053e+01
9.891664999071839702e+03,5.074204065215174353e+01
9.891665021964176049e+03,5.074018847828767775e+01
9.891665044856512395e+03,5.073833632412026873e+01
9.891665067748846923e+03,5.073648418979782093e+01
9.891665090641183269e+03,5.073463207502695838e+01
9.891665113533517797e+03,5.073277998010308920e+01
9.891665136425854143e+03,5.073092790473286584e+01
9.891665159318188671e+03,5.072907584921167512e+01
9.891665182210525018e+03,5.072722381324621210e+01
9.891665205102859545e+03,5.072537179713184230e+01
9.891665227995195892e+03,5.072351980057524656e+01
9.891665250887532238e+03,5.072166782372467964e+01
9.891665273779866766e+03,5.071981586672821862e+01
9.891665296672203112e+03,5.071796392929270070e+01
9.891665319564537640e+03,5.071611201171334926e+01
9.891665342456873987e+03,5.071426011369696596e+01
9.891665365349208514e+03,5.071240823553889498e+01
9.891665388241544861e+03,5.071055637694583851e+01
9.891665411133879388e+03,5.070870453821308388e+01
9.891665434026215735e+03,5.070685271904744695e+01
9.891665456918550262e+03,5.070500091974414403e+01
9.891665479810886609e+03,5.070314914000999806e+01
9.891665502703222955e+03,5.070129737999316433e+01
9.891665525595557483e+03,5.069944563984184072e+01
9.891665548487893830e+03,5.069759391926272230e+01
9.891665571380228357e+03,5.069574221855116036e+01
9.891665594272564704e+03,5.069389053741386419e+01
9.891665617164899231e+03,5.069203887614618509e+01
9.891665640057235578e+03,5.069018723445483943e+01
9.891665662949570105e+03,5.068833561263516430e+01
9.891665685841906452e+03,5.068648401039389739e+01
9.891665708734242799e+03,5.068463242787922240e+01
9.891665731626577326e+03,5.068278086523925197e+01
9.891665754518913673e+03,5.068092932218079483e+01
9.891665777411248200e+03,5.067907779899914544e+01
9.891665800303584547e+03,5.067722629540109835e+01
9.891665823195919074e+03,5.067537481168183433e+01
9.891665846088255421e+03,5.067352334754822607e+01
9.891665868980589948e+03,5.067167190329553250e+01
9.891665891872926295e+03,5.066982047863053396e+01
9.891665914765260823e+03,5.066796907384849646e+01
9.891665937657597169e+03,5.066611768865620036e+01
9.891665960549933516e+03,5.066426632320181511e+01
9.891665983442268043e+03,5.066241497763348889e+01
9.891666006334604390e+03,5.066056365165799491e+01
9.891666029226938917e+03,5.065871234557062053e+01
9.891666052119275264e+03,5.065686105907814607e+01
9.891666075011609792e+03,5.065500979247580915e+01
9.891666097903946138e+03,5.065315854547048957e+01
9.891666120796280666e+03,5.065130731835733968e+01
9.891666143688617012e+03,5.064945611084327481e+01
9.891666166580953359e+03,5.064760492307633655e+01
9.891666189473287886e+03,5.064575375520472278e+01
9.891666212365624233e+03,5.064390260693525647e+01
9.891666235257958760e+03,5.064205147856308287e+01
9.891666258150295107e+03,5.064020036979512440e+01
9.891666281042629635e+03,5.063834928092657606e+01
9.891666303934965981e+03,5.063649821166427500e+01
9.891666326827300509e+03,5.063464716230345886e+01
9.891666349719636855e+03,5.063279613255093636e+01
9.891666372611973202e+03,5.063094512255484148e+01
9.891666395504307729e+03,5.062909413246332235e+01
9.891666418396644076e+03,5.062724316198318775e+01
9.891666441288978604e+03,5.062539221140966816e+01
9.891666464181314950e+03,5.062354128044961499e+01
9.891666487073649478e+03,5.062169036939818056e+01
9.891666509965985824e+03,5.061983947796234418e+01
9.891666532858320352e+03,5.061798860643715869e+01
9.891666555750656698e+03,5.061613775452962471e+01
9.891666578642991226e+03,5.061428692253480222e+01
9.891666601535327572e+03,5.061243611015967758e+01
9.891666624427663919e+03,5.061058531755232792e+01
9.891666647319998447e+03,5.060873454486077350e+01
9.891666670212334793e+03,5.060688379179196517e+01
9.891666693104669321e+03,5.060503305864109791e+01
9.891666715997005667e+03,5.060318234511500890e+01
9.891666738889340195e+03,5.060133165150891443e+01
9.891666761781676541e+03,5.059948097752965879e+01
9.891666784674011069e+03,5.059763032347244405e+01
9.891666807566347416e+03,5.059577968904413581e+01
9.891666830458683762e+03,5.059392907439284670e+01
9.891666853351018290e+03,5.059207847966668226e+01
9.891666876243354636e+03,5.059022790457251517e+01
9.891666899135689164e+03,5.058837734940548359e+01
9.891666922028025510e+03,5.058652681387259520e+01
9.891666944920360038e+03,5.058467629826886025e+01
9.891666967812696384e+03,5.058282580230131487e+01
9.891666990705030912e+03,5.058097532626500481e+01
9.891667013597367259e+03,5.057912486986693068e+01
