Time (BJD_TBD - 2450000), F_h/F_star (ppm)
1.014859954516736980e+04,2.878713111519069656e+01
1.014859956604214130e+04,2.878714933940237586e+01
1.014859958691691463e+04,2.878716756291839474e+01
1.014859960779168796e+04,2.878718578573715092e+01
1.014859962866645947e+04,2.878720400785707056e+01
1.014859964954123279e+04,2.878722222928131558e+01
1.014859967041600430e+04,2.878724045000671339e+01
1.014859969129077763e+04,2.878725867003644368e+01
1.014859971216555095e+04,2.878727688936891482e+01
1.014859973304032246e+04,2.878729510800253166e+01
1.014859975391509579e+04,2.878731332594048098e+01
1.014859977478986912e+04,2.878733154318116405e+01
1.014859979566464062e+04,2.878734975972299992e+01
1.014859981653941395e+04,2.878736797556915405e+01
1.014859983741418728e+04,2.878738619071804550e+01
1.014859985828895879e+04,2.878740440516808263e+01
1.014859987916373211e+04,2.878742261892243803e+01
1.014859990003850362e+04,2.878744083197794268e+01
1.014859992091327695e+04,2.878745904433776204e+01
1.014859994178805027e+04,2.878747725600031160e+01
1.014859996266282178e+04,2.878749546696400685e+01
1.014859998353759511e+04,2.878751367723201326e+01
1.014860000441236843e+04,2.878753188680274988e+01
1.014860002528713994e+04,2.878755009567462864e+01
1.014860004616191327e+04,2.878756830385081855e+01
1.014860006703668660e+04,2.878758651132973156e+01
1.014860008791145810e+04,2.878760471810978316e+01
1.014860010878623143e+04,2.878762292419414237e+01
1.014860012966100294e+04,2.878764112957964016e+01
1.014860015053577627e+04,2.878765933426944201e+01
1.014860017141054959e+04,2.878767753826197051e+01
1.014860019228532110e+04,2.878769574155563049e+01
1.014860021316009443e+04,2.878771394415359097e+01
1.014860023403486775e+04,2.878773214605427455e+01
1.014860025490963926e+04,2.878775034725608606e+01
1.014860027578441259e+04,2.878776854776219807e+01
1.014860029665918591e+04,2.878778674757102962e+01
1.014860031753395742e+04,2.878780494668098555e+01
1.014860033840873075e+04,2.878782314509524198e+01
1.014860035928350226e+04,2.878784134281062634e+01
1.014860038015827558e+04,2.878785953983031121e+01
1.014860040103304891e+04,2.878787773615270140e+01
1.014860042190782042e+04,2.878789593177621597e+01
1.014860044278259375e+04,2.878791412670402750e+01
1.014860046365736707e+04,2.878793232093454790e+01
1.014860048453213858e+04,2.878795051446618913e+01
1.014860050540691191e+04,2.878796870730212021e+01
1.014860052628168523e+04,2.878798689944075662e+01
1.014860054715645674e+04,2.878800509088051385e+01
