Time (BJD_TBD - 2450000), F_star + F_c (mJy)
9.908229012185967804e+03,2.739323232830998656e+00
9.908229035408196069e+03,2.739323254736204749e+00
9.908229058630426152e+03,2.739323276643951033e+00
9.908229081852656236e+03,2.739323298554235286e+00
9.908229105074886320e+03,2.739323320467056622e+00
9.908229128297114585e+03,2.739323342382415039e+00
9.908229151519344668e+03,2.739323364300311869e+00
9.908229174741574752e+03,2.739323386220746670e+00
9.908229197963804836e+03,2.739323408143718996e+00
9.908229221186033101e+03,2.739323430069227072e+00
9.908229244408263185e+03,2.739323451997274006e+00
9.908229267630493268e+03,2.739323473927858466e+00
9.908229290852723352e+03,2.739323495860979563e+00
9.908229314074951617e+03,2.739323517796636409e+00
9.908229337297181701e+03,2.739323539734832114e+00
9.908229360519411784e+03,2.739323561675564900e+00
9.908229383741641868e+03,2.739323583618834324e+00
9.908229406963870133e+03,2.739323605564639053e+00
9.908229430186100217e+03,2.739323627512981751e+00
9.908229453408330301e+03,2.739323649463861532e+00
9.908229476630560384e+03,2.739323671417277506e+00
9.908229499852788649e+03,2.739323693373228785e+00
9.908229523075018733e+03,2.739323715331717590e+00
9.908229546297248817e+03,2.739323737292743033e+00
9.908229569519478900e+03,2.739323759256304669e+00
9.908229592741707165e+03,2.739323781222400278e+00
9.908229615963937249e+03,2.739323803191034301e+00
9.908229639186167333e+03,2.739323825162204074e+00
9.908229662408397417e+03,2.739323847135909595e+00
9.908229685630625681e+03,2.739323869112149534e+00
9.908229708852855765e+03,2.739323891090926555e+00
9.908229732075085849e+03,2.739323913072239769e+00
9.908229755297315933e+03,2.739323935056088288e+00
9.908229778519544197e+03,2.739323957042470337e+00
9.908229801741774281e+03,2.739323979031390355e+00
9.908229824964004365e+03,2.739324001022845234e+00
9.908229848186234449e+03,2.739324023016835419e+00
9.908229871408462714e+03,2.739324045013358688e+00
9.908229894630692797e+03,2.739324067012419484e+00
9.908229917852922881e+03,2.739324089014014696e+00
9.908229941075152965e+03,2.739324111018145214e+00
9.908229964297381230e+03,2.739324133024808372e+00
9.908229987519611313e+03,2.739324155034008612e+00
9.908230010741841397e+03,2.739324177045743713e+00
9.908230033964071481e+03,2.739324199060012788e+00
9.908230057186299746e+03,2.739324221076814947e+00
9.908230080408529830e+03,2.739324243096153744e+00
9.908230103630759913e+03,2.739324265118026513e+00
9.908230126852989997e+03,2.739324287142433700e+00
9.908230150075218262e+03,2.739324309169373528e+00
9.908230173297448346e+03,2.739324331198848661e+00
9.908230196519678429e+03,2.739324353230858655e+00
9.908230219741908513e+03,2.739324375265402178e+00
9.908230242964136778e+03,2.739324397302477898e+00
9.908230266186366862e+03,2.739324419342089811e+00
9.908230289408596946e+03,2.739324441384234810e+00
9.908230312630827029e+03,2.739324463428913781e+00
9.908230335853055294e+03,2.739324485476124504e+00
9.908230359075285378e+03,2.739324507525870089e+00
9.908230382297515462e+03,2.739324529578149203e+00
9.908230405519745545e+03,2.739324551632962734e+00
9.908230428741973810e+03,2.739324573690306686e+00
9.908230451964203894e+03,2.739324595750185942e+00
9.908230475186433978e+03,2.739324617812598284e+00
9.908230498408664062e+03,2.739324639877543710e+00
9.908230521630892326e+03,2.739324661945020445e+00
9.908230544853122410e+03,2.739324684015031597e+00
9.908230568075352494e+03,2.739324706087575390e+00
9.908230591297582578e+03,2.739324728162651823e+00
9.908230614519810842e+03,2.739324750240259565e+00
9.908230637742040926e+03,2.739324772320401724e+00
9.908230660964271010e+03,2.739324794403076080e+00
9.908230684186501094e+03,2.739324816488282632e+00
9.908230707408729359e+03,2.739324838576020049e+00
9.908230730630959442e+03,2.739324860666291439e+00
9.908230753853189526e+03,2.739324882759095026e+00
9.908230777075419610e+03,2.739324904854430365e+00
9.908230800297647875e+03,2.739324926952296124e+00
9.908230823519877958e+03,2.739324949052695857e+00
9.908230846742108042e+03,2.739324971155626898e+00
9.908230869964338126e+03,2.739324993261090135e+00
9.908230893186566391e+03,2.739325015369082905e+00
