Time (BJD_TBD - 2450000), F_f/F_star (ppm)
9.891720352739152077e+03,3.323909107971170585e+01
9.891720375631486604e+03,3.324002621253487177e+01
9.891720398523822951e+03,3.324096135452969492e+01
9.891720421416159297e+03,3.324189650562163934e+01
9.891720444308493825e+03,3.324283166573616910e+01
9.891720467200830171e+03,3.324376683502164553e+01
9.891720490093164699e+03,3.324470201332928099e+01
9.891720512985501045e+03,3.324563720080741547e+01
9.891720535877835573e+03,3.324657239730721159e+01
9.891720558770171920e+03,3.324750760297707330e+01
9.891720581662506447e+03,3.324844281766814191e+01
9.891720604554842794e+03,3.324937804152881426e+01
9.891720627447179140e+03,3.325031327448455443e+01
9.891720650339513668e+03,3.325124851646081225e+01
9.891720673231850014e+03,3.325218376760600592e+01
9.891720696124184542e+03,3.325311902777124828e+01
9.891720719016520889e+03,3.325405429710494332e+01
9.891720741908855416e+03,3.325498957545827494e+01
9.891720764801191763e+03,3.325592486297960448e+01
9.891720787693526290e+03,3.325686015952008745e+01
9.891720810585862637e+03,3.325779546522812069e+01
9.891720833478197164e+03,3.325873077995485261e+01
9.891720856370533511e+03,3.325966610384868005e+01
9.891720879262869857e+03,3.326060143683503867e+01
9.891720902155204385e+03,3.326153677883944226e+01
9.891720925047540732e+03,3.326247213001023795e+01
9.891720947939875259e+03,3.326340749019858123e+01
9.891720970832211606e+03,3.326434285955289027e+01
9.891720993724546133e+03,3.326527823792429928e+01
9.891721016616882480e+03,3.326621362546119087e+01
9.891721039509217007e+03,3.326714902201472768e+01
9.891721062401553354e+03,3.326808442773331365e+01
9.891721085293889701e+03,3.326901984254240574e+01
9.891721108186224228e+03,3.326995526636743250e+01
9.891721131078560575e+03,3.327089069935681920e+01
9.891721153970895102e+03,3.327182614136171424e+01
9.891721176863231449e+03,3.327276159253050025e+01
9.891721199755565976e+03,3.327369705271432565e+01
9.891721222647902323e+03,3.327463252206160860e+01
9.891721245540236851e+03,3.327556800042345486e+01
9.891721268432573197e+03,3.327650348794830393e+01
9.891721291324907725e+03,3.327743898448727577e+01
9.891721314217244071e+03,3.327837449018878146e+01
9.891721337109580418e+03,3.327931000497827085e+01
9.891721360001914945e+03,3.328024552878120090e+01
9.891721382894251292e+03,3.328118106174598978e+01
9.891721405786585819e+03,3.328211660372373615e+01
9.891721428678922166e+03,3.328305215486290081e+01
9.891721451571256694e+03,3.328398771501457531e+01
9.891721474463593040e+03,3.328492328432719916e+01
9.891721497355927568e+03,3.328585886265184968e+01
9.891721520248263914e+03,3.328679445013703031e+01
9.891721543140600261e+03,3.328773004670813407e+01
9.891721566032934788e+03,3.328866565229059660e+01
9.891721588925271135e+03,3.328960126703287870e+01
9.891721611817605663e+03,3.329053689078605061e+01
9.891721634709942009e+03,3.329147252369861576e+01
9.891721657602276537e+03,3.329240816562158756e+01
9.891721680494612883e+03,3.329334381670348364e+01
9.891721703386947411e+03,3.329427947679538136e+01
9.891721726279283757e+03,3.329521514604569177e+01
9.891721749171620104e+03,3.329615082437992157e+01
9.891721772063954631e+03,3.329708651172342115e+01
9.891721794956290978e+03,3.329802220822470815e+01
9.891721817848625506e+03,3.329895791373481728e+01
9.891721840740961852e+03,3.329989362840225198e+01
9.891721863633296380e+03,3.330082935207806827e+01
9.891721886525632726e+03,3.330176508491073406e+01
9.891721909417967254e+03,3.330270082675133381e+01
9.891721932310303600e+03,3.330363657774832831e+01
9.891721955202638128e+03,3.330457233775279491e+01
9.891721978094974475e+03,3.330550810691320862e+01
9.891722000987310821e+03,3.330644388515497667e+01
9.891722023879645349e+03,3.330737967240354891e+01
9.891722046771981695e+03,3.330831546880735061e+01
9.891722069664316223e+03,3.330925127421749465e+01
9.891722092556652569e+03,3.331018708878244183e+01
9.891722115448987097e+03,3.331112291235324818e+01
9.891722138341323443e+03,3.331205874507841003e+01
9.891722161233657971e+03,3.331299458680898340e+01
9.891722184125994318e+03,3.331393043769344331e+01
9.891722207018330664e+03,3.331486629765719698e+01
