Time (BJD_TBD - 2450000), F_g/F_star (ppm)
9.905253071474813623e+03,8.076480537923939096e+01
9.905253092804492553e+03,8.076537282710670240e+01
9.905253114134171483e+03,8.076594027221472061e+01
9.905253135463852232e+03,8.076650771461179090e+01
9.905253156793531161e+03,8.076707515420102368e+01
9.905253178123210091e+03,8.076764259103076427e+01
9.905253199452889021e+03,8.076821002510095582e+01
9.905253220782567951e+03,8.076877745641152728e+01
9.905253242112248699e+03,8.076934488501078135e+01
9.905253263441927629e+03,8.076991231080188527e+01
9.905253284771606559e+03,8.077047973383319857e+01
9.905253306101285489e+03,8.077104715410459335e+01
9.905253327430964418e+03,8.077161457161602698e+01
9.905253348760645167e+03,8.077218198641583058e+01
9.905253370090324097e+03,8.077274939840715717e+01
9.905253391420003027e+03,8.077331680763830946e+01
9.905253412749681956e+03,8.077388421410924479e+01
9.905253434079360886e+03,8.077445161781989214e+01
9.905253455409039816e+03,8.077501901877018042e+01
9.905253476738720565e+03,8.077558641700842657e+01
9.905253498068399495e+03,8.077615381243779780e+01
9.905253519398078424e+03,8.077672120510661102e+01
9.905253540727757354e+03,8.077728859501478098e+01
9.905253562057436284e+03,8.077785598216226504e+01
9.905253583387117033e+03,8.077842336659739431e+01
9.905253604716795962e+03,8.077899074822329339e+01
9.905253626046474892e+03,8.077955812708829342e+01
9.905253647376153822e+03,8.078012550319235174e+01
9.905253668705832752e+03,8.078069287653536890e+01
9.905253690035511681e+03,8.078126024711730224e+01
9.905253711365192430e+03,8.078182761498644027e+01
9.905253732694871360e+03,8.078239498004597863e+01
9.905253754024550290e+03,8.078296234234422002e+01
9.905253775354229219e+03,8.078352970188110760e+01
9.905253796683908149e+03,8.078409705865655610e+01
9.905253818013588898e+03,8.078466441271891085e+01
9.905253839343267828e+03,8.078523176397132488e+01
9.905253860672946757e+03,8.078579911246210088e+01
9.905253882002625687e+03,8.078636645819116779e+01
9.905253903332304617e+03,8.078693380115846878e+01
9.905253924661983547e+03,8.078750114136397542e+01
9.905253945991664295e+03,8.078806847885594777e+01
9.905253967321343225e+03,8.078863581353756729e+01
9.905253988651022155e+03,8.078920314545719350e+01
9.905254009980701085e+03,8.078977047461469851e+01
9.905254031310380014e+03,8.079033780101003970e+01
9.905254052640060763e+03,8.079090512469151975e+01
9.905254073969739693e+03,8.079147244556233431e+01
9.905254095299418623e+03,8.079203976367081452e+01
9.905254116629097553e+03,8.079260707901684668e+01
9.905254137958776482e+03,8.079317439160037395e+01
9.905254159288455412e+03,8.079374170142135370e+01
9.905254180618136161e+03,8.079430900852807440e+01
9.905254201947815091e+03,8.079487631282371751e+01
9.905254223277494020e+03,8.079544361435658573e+01
9.905254244607172950e+03,8.079601091312665062e+01
9.905254265936851880e+03,8.079657820913379851e+01
9.905254287266532629e+03,8.079714550242636051e+01
9.905254308596211558e+03,8.079771279290754649e+01
9.905254329925890488e+03,8.079828008062558808e+01
9.905254351255569418e+03,8.079884736558049951e+01
9.905254372585248348e+03,8.079941464777216709e+01
9.905254393914929096e+03,8.079998192724892192e+01
9.905254415244608026e+03,8.080054920391393125e+01
9.905254436574286956e+03,8.080111647781549777e+01
9.905254457903965886e+03,8.080168374895359307e+01
9.905254479233644815e+03,8.080225101732811765e+01
9.905254500563323745e+03,8.080281828293898627e+01
9.905254521893004494e+03,8.080338554583455846e+01
9.905254543222683424e+03,8.080395280591797302e+01
9.905254564552362353e+03,8.080452006323757530e+01
9.905254585882041283e+03,8.080508731779326581e+01
9.905254607211720213e+03,8.080565456958500192e+01
9.905254628541400962e+03,8.080622181866108633e+01
9.905254649871079891e+03,8.080678906492467206e+01
9.905254671200758821e+03,8.080735630842410444e+01
9.905254692530437751e+03,8.080792354915929820e+01
9.905254713860116681e+03,8.080849078713021072e+01
9.905254735189795610e+03,8.080905802233674251e+01
9.905254756519476359e+03,8.080962525482723890e+01
9.905254777849155289e+03,8.081019248450485293e+01
9.905254799178834219e+03,8.081075971141790149e+01
9.905254820508513149e+03,8.081132693556629931e+01
9.905254841838192078e+03,8.081189415695000378e+01
9.905254863167872827e+03,8.081246137561731757e+01
9.905254884497551757e+03,8.081302859147143636e+01
9.905254905827230687e+03,8.081359580456064862e+01
9.905254927156909616e+03,8.081416301488491172e+01
9.905254948486588546e+03,8.081473022244412618e+01
9.905254969816267476e+03,8.081529742723823517e+01
9.905254991145948225e+03,8.081586462931554138e+01
9.905255012475627154e+03,8.081643182857925467e+01
9.905255033805306084e+03,8.081699902507767774e+01
9.905255055134985014e+03,8.081756621881071112e+01
9.905255076464663944e+03,8.081813340977832638e+01
9.905255097794344692e+03,8.081870059802882622e+01
9.905255119124023622e+03,8.081926778346537787e+01
9.905255140453702552e+03,8.081983496613628404e+01
9.905255161783381482e+03,8.082040214604150208e+01
9.905255183113060411e+03,8.082096932318093252e+01
9.905255204442741160e+03,8.082153649760292069e+01
9.905255225772420090e+03,8.082210366921063383e+01
9.905255247102099020e+03,8.082267083805238883e+01
9.905255268431777949e+03,8.082323800412810044e+01
9.905255289761456879e+03,8.082380516743769761e+01
9.905255311091135809e+03,8.082437232798113769e+01
9.905255332420816558e+03,8.082493948580669496e+01
9.905255353750495487e+03,8.082550664081760772e+01
9.905255375080174417e+03,8.082607379306215023e+01
9.905255396409853347e+03,8.082664094254025144e+01
9.905255417739532277e+03,8.082720808925184031e+01
9.905255439069213026e+03,8.082777523324526214e+01
9.905255460398891955e+03,8.082834237442365577e+01
9.905255481728570885e+03,8.082890951283533809e+01
9.905255503058249815e+03,8.082947664848026648e+01
9.905255524387928745e+03,8.083004378135836987e+01
9.905255545717607674e+03,8.083061091146956301e+01
9.905255567047288423e+03,8.083117803886214858e+01
9.905255588376967353e+03,8.083174516343933647e+01
9.905255609706646283e+03,8.083231228524942935e+01
9.905255631036325212e+03,8.083287940429234197e+01
9.905255652366004142e+03,8.083344652056801749e+01
9.905255673695684891e+03,8.083401363412474439e+01
9.905255695025363821e+03,8.083458074486576095e+01
9.905255716355042750e+03,8.083514785283934145e+01
9.905255737684721680e+03,8.083571495804541485e+01
9.905255759014400610e+03,8.083628206048391007e+01
9.905255780344079540e+03,8.083684916015477029e+01
9.905255801673760288e+03,8.083741625710628398e+01
9.905255823003439218e+03,8.083798335124167522e+01
9.905255844333118148e+03,8.083855044260924672e+01
9.905255865662797078e+03,8.083911753120888477e+01
9.905255886992476007e+03,8.083968461704056097e+01
9.905255908322156756e+03,8.084025170015257800e+01
9.905255929651835686e+03,8.084081878044811731e+01
9.905255950981514616e+03,8.084138585797548160e+01
9.905255972311193545e+03,8.084195293273462823e+01
9.905255993640872475e+03,8.084252000472545774e+01
9.905256014970551405e+03,8.084308707394792748e+01
9.905256036300232154e+03,8.084365414045031173e+01
9.905256057629911083e+03,8.084422120413583457e+01
9.905256078959590013e+03,8.084478826505278448e+01
9.905256100289268943e+03,8.084535532320109041e+01
9.905256121618947873e+03,8.084592237858069552e+01
9.905256142948628622e+03,8.084648943123988829e+01
9.905256164278307551e+03,8.084705648108189280e+01
9.905256185607986481e+03,8.084762352815498332e+01
9.905256206937665411e+03,8.084819057245910301e+01
9.905256228267344341e+03,8.084875761399419503e+01
9.905256249597025089e+03,8.084932465280854785e+01
9.905256270926704019e+03,8.084989168880535715e+01
9.905256292256382949e+03,8.085045872203292561e+01
9.905256313586061879e+03,8.085102575249119639e+01
9.905256334915740808e+03,8.085159278018009843e+01
9.905256356245419738e+03,8.085215980509956069e+01
9.905256377575100487e+03,8.085272682729788585e+01
9.905256398904779417e+03,8.085329384667825536e+01
9.905256420234458346e+03,8.085386086328900035e+01
9.905256441564137276e+03,8.085442787713003554e+01
9.905256462893816206e+03,8.085499488820131830e+01
9.905256484223496955e+03,8.085556189655109449e+01
9.905256505553175884e+03,8.085612890208261661e+01
9.905256526882854814e+03,8.085669590484417313e+01
9.905256548212533744e+03,8.085726290483569301e+01
9.905256569542212674e+03,8.085782990205710519e+01
9.905256590871891603e+03,8.085839689650833861e+01
9.905256612201572352e+03,8.085896388823768177e+01
9.905256633531251282e+03,8.085953087714837295e+01
9.905256654860930212e+03,8.086009786328870064e+01
9.905256676190609141e+03,8.086066484665857956e+01
9.905256697520288071e+03,8.086123182725795289e+01
9.905256718849968820e+03,8.086179880513510909e+01
9.905256740179647750e+03,8.086236578019327226e+01
9.905256761509326680e+03,8.086293275248073087e+01
9.905256782839005609e+03,8.086349972199742808e+01
9.905256804168684539e+03,8.086406668874326442e+01
9.905256825498363469e+03,8.086463365271819725e+01
9.905256846828044218e+03,8.086520061397052928e+01
9.905256868157723147e+03,8.086576757240345614e+01
9.905256889487402077e+03,8.086633452806526634e+01
9.905256910817081007e+03,8.086690148095591724e+01
9.905256932146759937e+03,8.086746843107533778e+01
9.905256953476440685e+03,8.086803537847178802e+01
9.905256974806119615e+03,8.086860232304850626e+01
9.905256996135798545e+03,8.086916926485378099e+01
9.905257017465477475e+03,8.086973620388756956e+01
9.905257038795156404e+03,8.087030314014978671e+01
9.905257060124837153e+03,8.087087007368869251e+01
9.905257081454516083e+03,8.087143700440755367e+01
9.905257102784195013e+03,8.087200393235465867e+01
9.905257124113873942e+03,8.087257085752989383e+01
9.905257145443552872e+03,8.087313777993323072e+01
9.905257166773231802e+03,8.087370469956458408e+01
9.905257188102912551e+03,8.087427161647228502e+01
9.905257209432591480e+03,8.087483853055948657e+01
9.905257230762270410e+03,8.087540544187453406e+01
9.905257252091949340e+03,8.087597235041734223e+01
9.905257273421628270e+03,8.087653925618784001e+01
9.905257294751309018e+03,8.087710615923430169e+01
9.905257316080987948e+03,8.087767305945997975e+01
9.905257337410666878e+03,8.087823995691314849e+01
9.905257358740345808e+03,8.087880685159376526e+01
9.905257380070024738e+03,8.087937374350173059e+01
9.905257401399703667e+03,8.087994063263698763e+01
9.905257422729384416e+03,8.088050751904779645e+01
9.905257444059063346e+03,8.088107440263743797e+01
9.905257465388742276e+03,8.088164128345415804e+01
9.905257486718421205e+03,8.088220816149791403e+01
9.905257508048100135e+03,8.088277503676862068e+01
9.905257529377780884e+03,8.088334190931458068e+01
9.905257550707459814e+03,8.088390877903900389e+01
9.905257572037138743e+03,8.088447564599020723e+01
9.905257593366817673e+03,8.088504251016807700e+01
9.905257614696496603e+03,8.088560937157258479e+01
9.905257636026175533e+03,8.088617623020364533e+01
9.905257657355856281e+03,8.088674308610954711e+01
9.905257678685535211e+03,8.088730993919352841e+01
9.905257700015214141e+03,8.088787678950384930e+01
9.905257721344893071e+03,8.088844363704050977e+01
9.905257742674572000e+03,8.088901048180335351e+01
9.905257764004252749e+03,8.088957732384069743e+01
9.905257785333931679e+03,8.089014416305580824e+01
9.905257806663610609e+03,8.089071099949693178e+01
9.905257827993289538e+03,8.089127783316402542e+01
9.905257849322968468e+03,8.089184466405700391e+01
9.905257870652647398e+03,8.089241149217581039e+01
9.905257891982328147e+03,8.089297831756870494e+01
9.905257913312007076e+03,8.089354514013896846e+01
9.905257934641686006e+03,8.089411195993484682e+01
9.905257955971364936e+03,8.089467877695628317e+01
9.905257977301043866e+03,8.089524559120320646e+01
9.905257998630724614e+03,8.089581240272389095e+01
9.905258019960403544e+03,8.089637921142160337e+01
9.905258041290082474e+03,8.089694601734460377e+01
9.905258062619761404e+03,8.089751282049283532e+01
9.905258083949440334e+03,8.089807962086621274e+01
9.905258105279121082e+03,8.089864641851301030e+01
9.905258126608800012e+03,8.089921321333649473e+01
9.905258147938478942e+03,8.089978000538495451e+01
9.905258169268157872e+03,8.090034679465831857e+01
9.905258190597836801e+03,8.090091358115648745e+01
9.905258211927515731e+03,8.090148036487941852e+01
9.905258233257196480e+03,8.090204714587535761e+01
9.905258254586875410e+03,8.090261392404759988e+01
9.905258275916554339e+03,8.090318069944437696e+01
9.905258297246233269e+03,8.090374747206567463e+01
9.905258318575912199e+03,8.090431424191139342e+01
9.905258339905592948e+03,8.090488100902979340e+01
9.905258361235271877e+03,8.090544777332415549e+01
9.905258382564950807e+03,8.090601453484273975e+01
9.905258403894629737e+03,8.090658129358547512e+01
9.905258425224308667e+03,8.090714804955230477e+01
9.905258446553987596e+03,8.090771480274315763e+01
9.905258467883668345e+03,8.090828155320630799e+01
9.905258489213347275e+03,8.090884830084500834e+01
9.905258510543026205e+03,8.090941504570753295e+01
9.905258531872705134e+03,8.090998178779381078e+01
9.905258553202384064e+03,8.091054852710378498e+01
9.905258574532064813e+03,8.091111526368570139e+01
9.905258595861743743e+03,8.091168199744285516e+01
9.905258617191422672e+03,8.091224872842349214e+01
9.905258638521101602e+03,8.091281545662755548e+01
9.905258659850780532e+03,8.091338218205495991e+01
9.905258681180459462e+03,8.091394890470567702e+01
9.905258702510140211e+03,8.091451562462795266e+01
9.905258723839819140e+03,8.091508234172503933e+01
9.905258745169498070e+03,8.091564905604521130e+01
9.905258766499177000e+03,8.091621576758841172e+01
9.905258787828855930e+03,8.091678247635458376e+01
9.905258809158536678e+03,8.091734918239195906e+01
9.905258830488215608e+03,8.091791588560383275e+01
9.905258851817894538e+03,8.091848258603846489e+01
9.905258873147573468e+03,8.091904928369577021e+01
9.905258894477252397e+03,8.091961597857570609e+01
9.905258915806933146e+03,8.092018267072653259e+01
9.905258937136612076e+03,8.092074936005150221e+01
9.905258958466291006e+03,8.092131604659891764e+01
9.905258979795969935e+03,8.092188273036870783e+01
9.905259001125648865e+03,8.092244941136075909e+01
9.905259022455327795e+03,8.092301608957502879e+01
9.905259043785008544e+03,8.092358276505979120e+01
9.905259065114687473e+03,8.092414943771829883e+01
9.905259086444366403e+03,8.092471610759884015e+01
9.905259107774045333e+03,8.092528277470134412e+01
9.905259129103724263e+03,8.092584943902573968e+01
9.905259150433405011e+03,8.092641610062028690e+01
9.905259171763083941e+03,8.092698275938825248e+01
9.905259193092762871e+03,8.092754941537791069e+01
9.905259214422441801e+03,8.092811606858919049e+01
9.905259235752120730e+03,8.092868271902202082e+01
9.905259257081799660e+03,8.092924936667634483e+01
9.905259278411480409e+03,8.092981601160042260e+01
9.905259299741159339e+03,8.093038265369752082e+01
9.905259321070838268e+03,8.093094929301592799e+01
9.905259342400517198e+03,8.093151592955553042e+01
9.905259363730196128e+03,8.093208256331628547e+01
9.905259385059876877e+03,8.093264919434646743e+01
9.905259406389555807e+03,8.093321582254934299e+01
9.905259427719234736e+03,8.093378244797318644e+01
9.905259449048913666e+03,8.093434907061791250e+01
9.905259470378592596e+03,8.093491569048346435e+01
9.905259491708271526e+03,8.093548230756975670e+01
9.905259513037952274e+03,8.093604892192509226e+01
9.905259534367631204e+03,8.093661553345269510e+01
9.905259555697310134e+03,8.093718214220086793e+01
9.905259577026989064e+03,8.093774874816953968e+01
9.905259598356667993e+03,8.093831535135861088e+01
9.905259619686348742e+03,8.093888195181637002e+01
9.905259641016027672e+03,8.093944854944609801e+01
9.905259662345706602e+03,8.094001514429604072e+01
9.905259683675385531e+03,8.094058173636614129e+01
9.905259705005064461e+03,8.094114832565632867e+01
9.905259726334743391e+03,8.094171491216656023e+01
9.905259747664424140e+03,8.094228149594502497e+01
9.905259768994103069e+03,8.094284807689507488e+01
9.905259790323781999e+03,8.094341465506498423e+01
9.905259811653460929e+03,8.094398123045461091e+01
9.905259832983139859e+03,8.094454780306392649e+01
9.905259854312820607e+03,8.094511437294117684e+01
9.905259875642499537e+03,8.094568093998967129e+01
9.905259896972178467e+03,8.094624750425768411e+01
9.905259918301857397e+03,8.094681406574508742e+01
9.905259939631536326e+03,8.094738062445185278e+01
9.905259960961217075e+03,8.094794718042622605e+01
9.905259982290896005e+03,8.094851373357151658e+01
9.905260003620574935e+03,8.094908028393592758e+01
9.905260024950253865e+03,8.094964683151944485e+01
9.905260046279932794e+03,8.095021337632199732e+01
