Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
9.903855339107056352e+03,2.654890336271289897e+00
9.903855362004022027e+03,2.654890373201212128e+00
9.903855384900987701e+03,2.654890410130544609e+00
9.903855407797951557e+03,2.654890447059290892e+00
9.903855430694917231e+03,2.654890483987450978e+00
9.903855453591882906e+03,2.654890520915031971e+00
9.903855476488848581e+03,2.654890557842019660e+00
9.903855499385814255e+03,2.654890594768424705e+00
9.903855522282779930e+03,2.654890631694240000e+00
9.903855545179745604e+03,2.654890668619469096e+00
9.903855568076711279e+03,2.654890705544111995e+00
9.903855590973676954e+03,2.654890742468165143e+00
9.903855613870642628e+03,2.654890779391632094e+00
9.903855636767608303e+03,2.654890816314516400e+00
9.903855659664573977e+03,2.654890853236807402e+00
9.903855682561539652e+03,2.654890890158508654e+00
9.903855705458505327e+03,2.654890927079630814e+00
9.903855728355471001e+03,2.654890964000159670e+00
9.903855751252436676e+03,2.654891000920098776e+00
9.903855774149402350e+03,2.654891037839451684e+00
9.903855797046368025e+03,2.654891074758214842e+00
9.903855819943333699e+03,2.654891111676391802e+00
9.903855842840299374e+03,2.654891148593975458e+00
9.903855865737265049e+03,2.654891185510972917e+00
9.903855888634230723e+03,2.654891222427380626e+00
9.903855911531196398e+03,2.654891259343198584e+00
9.903855934428162072e+03,2.654891296258426792e+00
9.903855957325127747e+03,2.654891333173068801e+00
9.903855980222093422e+03,2.654891370087117508e+00
9.903856003119059096e+03,2.654891407000580017e+00
9.903856026016024771e+03,2.654891443913445670e+00
9.903856048912990445e+03,2.654891480825728678e+00
9.903856071809956120e+03,2.654891517737418383e+00
9.903856094706921795e+03,2.654891554648514784e+00
9.903856117603887469e+03,2.654891591559024988e+00
9.903856140500853144e+03,2.654891628468941889e+00
9.903856163397818818e+03,2.654891665378269039e+00
9.903856186294784493e+03,2.654891702287006439e+00
9.903856209191748349e+03,2.654891739195143430e+00
9.903856232088714023e+03,2.654891776102701328e+00
9.903856254985679698e+03,2.654891813009658819e+00
9.903856277882645372e+03,2.654891849916030111e+00
9.903856300779611047e+03,2.654891886821808100e+00
9.903856323676576721e+03,2.654891923726996339e+00
9.903856346573542396e+03,2.654891960631587722e+00
9.903856369470508071e+03,2.654891997535585801e+00
9.903856392367473745e+03,2.654892034438997683e+00
9.903856415264439420e+03,2.654892071341816262e+00
9.903856438161405094e+03,2.654892108244037985e+00
9.903856461058370769e+03,2.654892145145669957e+00
9.903856483955336444e+03,2.654892182046705074e+00
9.903856506852302118e+03,2.654892218947150440e+00
9.903856529749267793e+03,2.654892255847002502e+00
9.903856552646233467e+03,2.654892292746261262e+00
9.903856575543199142e+03,2.654892329644926718e+00
9.903856598440164817e+03,2.654892366542995319e+00
9.903856621337130491e+03,2.654892403440474169e+00
9.903856644234096166e+03,2.654892440337352610e+00
9.903856667131061840e+03,2.654892477233641301e+00
9.903856690028027515e+03,2.654892514129336689e+00
9.903856712924993190e+03,2.654892551024435221e+00
9.903856735821958864e+03,2.654892587918940450e+00
9.903856758718924539e+03,2.654892624812848823e+00
9.903856781615890213e+03,2.654892661706163892e+00
9.903856804512855888e+03,2.654892698598885659e+00
9.903856827409821562e+03,2.654892735491007016e+00
9.903856850306787237e+03,2.654892772382538624e+00
9.903856873203752912e+03,2.654892809273469823e+00
9.903856896100718586e+03,2.654892846163811271e+00
9.903856918997684261e+03,2.654892883053552310e+00
9.903856941894649935e+03,2.654892919942700047e+00
9.903856964791615610e+03,2.654892956831247375e+00
9.903856987688581285e+03,2.654892993719201399e+00
9.903857010585545140e+03,2.654893030606555016e+00
9.903857033482510815e+03,2.654893067493315328e+00
9.903857056379476489e+03,2.654893104379478785e+00
9.903857079276442164e+03,2.654893141265041834e+00
9.903857102173407839e+03,2.654893178150015132e+00
9.903857125070373513e+03,2.654893215034388021e+00
9.903857147967339188e+03,2.654893251918160502e+00
9.903857170864304862e+03,2.654893288801336126e+00
9.903857193761270537e+03,2.654893325683918448e+00
9.903857216658236212e+03,2.654893362565900361e+00
9.903857239555201886e+03,2.654893399447285418e+00
9.903857262452167561e+03,2.654893436328070067e+00
9.903857285349133235e+03,2.654893473208257859e+00
9.903857308246098910e+03,2.654893510087848796e+00
9.903857331143064584e+03,2.654893546966839324e+00
9.903857354040030259e+03,2.654893583845229443e+00
9.903857376936995934e+03,2.654893620723022707e+00
9.903857399833961608e+03,2.654893657600215562e+00
9.903857422730927283e+03,2.654893694476811561e+00
