Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
9.908373199009742166e+03,2.740635166427328073e+00
9.908373222231972250e+03,2.740635189462775401e+00
9.908373245454202333e+03,2.740635212499938689e+00
9.908373268676430598e+03,2.740635235538807279e+00
9.908373291898660682e+03,2.740635258579398936e+00
9.908373315120890766e+03,2.740635281621692343e+00
9.908373338343120849e+03,2.740635304665698158e+00
9.908373361565349114e+03,2.740635327711419933e+00
9.908373384787579198e+03,2.740635350758847011e+00
9.908373408009809282e+03,2.740635373807993602e+00
9.908373431232039366e+03,2.740635396858845496e+00
9.908373454454267630e+03,2.740635419911406245e+00
9.908373477676497714e+03,2.740635442965679403e+00
9.908373500898727798e+03,2.740635466021664968e+00
9.908373524120957882e+03,2.740635489079362941e+00
9.908373547343186146e+03,2.740635512138762664e+00
9.908373570565416230e+03,2.740635535199878348e+00
9.908373593787646314e+03,2.740635558262702887e+00
9.908373617009876398e+03,2.740635581327236281e+00
9.908373640232104663e+03,2.740635604393482083e+00
9.908373663454334746e+03,2.740635627461436741e+00
9.908373686676564830e+03,2.740635650531100254e+00
9.908373709898794914e+03,2.740635673602476174e+00
9.908373733121023179e+03,2.740635696675557398e+00
9.908373756343253262e+03,2.740635719750347477e+00
9.908373779565483346e+03,2.740635742826849963e+00
9.908373802787713430e+03,2.740635765905061305e+00
9.908373826009941695e+03,2.740635788984977950e+00
9.908373849232171779e+03,2.740635812066607002e+00
9.908373872454401862e+03,2.740635835149944910e+00
9.908373895676631946e+03,2.740635858234988120e+00
9.908373918898860211e+03,2.740635881321740186e+00
9.908373942121090295e+03,2.740635904410204660e+00
9.908373965343320378e+03,2.740635927500370883e+00
9.908373988565550462e+03,2.740635950592249515e+00
9.908374011787778727e+03,2.740635973685833449e+00
9.908374035010008811e+03,2.740635996781129791e+00
9.908374058232238895e+03,2.740636019878127883e+00
9.908374081454468978e+03,2.740636042976838382e+00
9.908374104676697243e+03,2.740636066077254185e+00
9.908374127898927327e+03,2.740636089179378843e+00
9.908374151121157411e+03,2.740636112283208803e+00
9.908374174343387494e+03,2.740636135388744066e+00
9.908374197565615759e+03,2.740636158495988184e+00
9.908374220787845843e+03,2.740636181604944710e+00
9.908374244010075927e+03,2.740636204715599433e+00
9.908374267232306011e+03,2.740636227827963012e+00
9.908374290454534275e+03,2.740636250942038998e+00
9.908374313676764359e+03,2.740636274057816735e+00
9.908374336898994443e+03,2.740636297175303326e+00
9.908374360121224527e+03,2.740636320294491668e+00
9.908374383343452791e+03,2.740636343415385312e+00
9.908374406565682875e+03,2.740636366537991364e+00
9.908374429787912959e+03,2.740636389662299166e+00
9.908374453010143043e+03,2.740636412788315823e+00
9.908374476232371308e+03,2.740636435916034230e+00
9.908374499454601391e+03,2.740636459045457940e+00
9.908374522676831475e+03,2.740636482176586952e+00
9.908374545899061559e+03,2.740636505309428372e+00
9.908374569121289824e+03,2.740636528443964437e+00
9.908374592343519907e+03,2.740636551580212910e+00
9.908374615565749991e+03,2.740636574718166685e+00
9.908374638787980075e+03,2.740636597857822210e+00
9.908374662010208340e+03,2.740636620999179485e+00
9.908374685232438424e+03,2.740636644142245615e+00
9.908374708454668507e+03,2.740636667287017048e+00
9.908374731676898591e+03,2.740636690433490230e+00
9.908374754899126856e+03,2.740636713581665163e+00
9.908374778121356940e+03,2.740636736731548950e+00
9.908374801343587023e+03,2.740636759883134488e+00
9.908374824565817107e+03,2.740636783036425328e+00
9.908374847788045372e+03,2.740636806191417918e+00
9.908374871010275456e+03,2.740636829348115810e+00
9.908374894232505540e+03,2.740636852506519006e+00
9.908374917454735623e+03,2.740636875666616845e+00
9.908374940676963888e+03,2.740636898828423540e+00
9.908374963899193972e+03,2.740636921991935537e+00
9.908374987121424056e+03,2.740636945157149285e+00
9.908375010343654139e+03,2.740636968324068334e+00
9.908375033565882404e+03,2.740636991492685581e+00
9.908375056788112488e+03,2.740637014663008131e+00
9.908375080010342572e+03,2.740637037835032430e+00
9.908375103232572656e+03,2.740637061008758479e+00
9.908375126454800920e+03,2.740637084184189831e+00
9.908375149677031004e+03,2.740637107361319380e+00
9.908375172899261088e+03,2.740637130540154232e+00
9.908375196121491172e+03,2.740637153720687280e+00
9.908375219343719436e+03,2.740637176902922079e+00
9.908375242565949520e+03,2.740637200086862180e+00
9.908375265788179604e+03,2.740637223272504031e+00
9.908375289010409688e+03,2.740637246459847631e+00
9.908375312232637953e+03,2.740637269648885876e+00
9.908375335454868036e+03,2.740637292839632977e+00
9.908375358677098120e+03,2.740637316032081827e+00
