Time (BJD_TBD - 2450000), F_star + F_c (mJy)
9.917365262040044399e+03,2.653207226813751873e+00
9.917365283685727263e+03,2.653207191927257291e+00
9.917365305331410127e+03,2.653207157042161590e+00
9.917365326977092991e+03,2.653207122158464326e+00
9.917365348622775855e+03,2.653207087276165499e+00
9.917365370268458719e+03,2.653207052395265553e+00
9.917365391914141583e+03,2.653207017515764932e+00
9.917365413559824447e+03,2.653206982637663192e+00
9.917365435205509129e+03,2.653206947760957668e+00
9.917365456851191993e+03,2.653206912885654134e+00
9.917365478496874857e+03,2.653206878011750369e+00
9.917365500142557721e+03,2.653206843139245930e+00
9.917365521788240585e+03,2.653206808268140815e+00
9.917365543433923449e+03,2.653206773398436358e+00
9.917365565079606313e+03,2.653206738530130337e+00
9.917365586725289177e+03,2.653206703663225419e+00
9.917365608370973860e+03,2.653206668797717160e+00
9.917365630016656723e+03,2.653206633933612224e+00
9.917365651662339587e+03,2.653206599070907057e+00
9.917365673308022451e+03,2.653206564209602547e+00
9.917365694953705315e+03,2.653206529349698251e+00
9.917365716599388179e+03,2.653206494491195055e+00
9.917365738245071043e+03,2.653206459634092962e+00
9.917365759890753907e+03,2.653206424778390637e+00
9.917365781536438590e+03,2.653206389924086750e+00
9.917365803182121454e+03,2.653206355071186628e+00
9.917365824827804317e+03,2.653206320219688052e+00
9.917365846473487181e+03,2.653206285369590578e+00
9.917365868119170045e+03,2.653206250520894205e+00
9.917365889764852909e+03,2.653206215673599377e+00
9.917365911410535773e+03,2.653206180827706095e+00
9.917365933056218637e+03,2.653206145983215247e+00
9.917365954701903320e+03,2.653206111140122392e+00
9.917365976347586184e+03,2.653206076298435079e+00
9.917365997993269048e+03,2.653206041458148867e+00
9.917366019638951911e+03,2.653206006619265533e+00
9.917366041284634775e+03,2.653205971781784189e+00
9.917366062930317639e+03,2.653205936945705279e+00
9.917366084576000503e+03,2.653205902111028802e+00
9.917366106221683367e+03,2.653205867277754315e+00
9.917366127867368050e+03,2.653205832445880485e+00
9.917366149513050914e+03,2.653205797615412198e+00
9.917366171158733778e+03,2.653205762786346789e+00
9.917366192804416642e+03,2.653205727958684257e+00
9.917366214450099505e+03,2.653205693132424159e+00
9.917366236095782369e+03,2.653205658307568271e+00
9.917366257741465233e+03,2.653205623484115705e+00
9.917366279387148097e+03,2.653205588662066017e+00
9.917366301032830961e+03,2.653205553841420539e+00
9.917366322678515644e+03,2.653205519022175274e+00
9.917366344324198508e+03,2.653205484204336884e+00
9.917366365969881372e+03,2.653205449387902704e+00
9.917366387615564236e+03,2.653205414572871845e+00
9.917366409261247099e+03,2.653205379759245641e+00
9.917366430906929963e+03,2.653205344947023647e+00
9.917366452552612827e+03,2.653205310136205419e+00
9.917366474198295691e+03,2.653205275326792290e+00
9.917366495843980374e+03,2.653205240518780705e+00
9.917366517489663238e+03,2.653205205712176440e+00
9.917366539135346102e+03,2.653205170906976829e+00
9.917366560781028966e+03,2.653205136103182316e+00
9.917366582426711830e+03,2.653205101300792901e+00
9.917366604072394694e+03,2.653205066499808584e+00
9.917366625718077557e+03,2.653205031700229366e+00
9.917366647363760421e+03,2.653204996902055246e+00
9.917366669009445104e+03,2.653204962105284004e+00
9.917366690655127968e+03,2.653204927309921413e+00
9.917366712300810832e+03,2.653204892515963920e+00
9.917366733946493696e+03,2.653204857723411969e+00
9.917366755592176560e+03,2.653204822932266893e+00
9.917366777237859424e+03,2.653204788142526915e+00
9.917366798883542288e+03,2.653204753354193368e+00
9.917366820529225151e+03,2.653204718567265807e+00
9.917366842174909834e+03,2.653204683781741569e+00
9.917366863820592698e+03,2.653204648997627313e+00
9.917366885466275562e+03,2.653204614214919044e+00
9.917366907111958426e+03,2.653204579433617649e+00
9.917366928757641290e+03,2.653204544653722685e+00
9.917366950403324154e+03,2.653204509875235040e+00
9.917366972049007018e+03,2.653204475098153825e+00
9.917366993694689882e+03,2.653204440322480373e+00
9.917367015340374564e+03,2.653204405548210687e+00
9.917367036986057428e+03,2.653204370775350984e+00
9.917367058631740292e+03,2.653204336003898600e+00
9.917367080277423156e+03,2.653204301233854423e+00
9.917367101923106020e+03,2.653204266465217565e+00
9.917367123568788884e+03,2.653204231697988469e+00
9.917367145214471748e+03,2.653204196932167580e+00
9.917367166860154612e+03,2.653204162167754010e+00
9.917367188505839295e+03,2.653204127404745538e+00
9.917367210151522158e+03,2.653204092643148826e+00
9.917367231797205022e+03,2.653204057882959876e+00
9.917367253442887886e+03,2.653204023124179134e+00
9.917367275088570750e+03,2.653203988366807486e+00
9.917367296734253614e+03,2.653203953610844046e+00
9.917367318379936478e+03,2.653203918856289256e+00
9.917367340025619342e+03,2.653203884103143562e+00
9.917367361671302206e+03,2.653203849351406962e+00
9.917367383316986889e+03,2.653203814601075905e+00
9.917367404962669752e+03,2.653203779852157496e+00
9.917367426608352616e+03,2.653203745104648181e+00
9.917367448254035480e+03,2.653203710358547962e+00
9.917367469899718344e+03,2.653203675613857726e+00
9.917367491545401208e+03,2.653203640870576141e+00
9.917367513191084072e+03,2.653203606128704983e+00
9.917367534836766936e+03,2.653203571388243809e+00
9.917367556482451619e+03,2.653203536649189509e+00
9.917367578128134483e+03,2.653203501911547857e+00
9.917367599773817346e+03,2.653203467175317076e+00
9.917367621419500210e+03,2.653203432440495391e+00
9.917367643065183074e+03,2.653203397707085021e+00
9.917367664710865938e+03,2.653203362975084634e+00
9.917367686356548802e+03,2.653203328244495118e+00
9.917367708002231666e+03,2.653203293515316474e+00
9.917367729647916349e+03,2.653203258787545593e+00
9.917367751293599213e+03,2.653203224061187804e+00
9.917367772939282077e+03,2.653203189336241774e+00
9.917367794584964940e+03,2.653203154612707060e+00
9.917367816230647804e+03,2.653203119890582773e+00
