Time (BJD_TBD - 2450000), F_c/F_star (ppm)
9.908276222978805890e+03,5.057168609780025292e+01
9.908276246201035974e+03,5.058150198094965333e+01
9.908276269423264239e+03,5.059131872404970665e+01
9.908276292645494323e+03,5.060113632860261390e+01
9.908276315867724406e+03,5.061095479380387019e+01
9.908276339089954490e+03,5.062077411961783469e+01
9.908276362312182755e+03,5.063059430523961169e+01
9.908276385534412839e+03,5.064041535217197776e+01
9.908276408756642923e+03,5.065023725961010115e+01
9.908276431978873006e+03,5.066006002751834814e+01
9.908276455201101271e+03,5.066988365509153880e+01
9.908276478423331355e+03,5.067970814383295419e+01
9.908276501645561439e+03,5.068953349293751387e+01
9.908276524867791522e+03,5.069935970236954148e+01
9.908276548090019787e+03,5.070918677132360131e+01
9.908276571312249871e+03,5.071901470130350020e+01
9.908276594534479955e+03,5.072884349150385930e+01
9.908276617756710039e+03,5.073867314188897382e+01
9.908276640978938303e+03,5.074850365165315225e+01
9.908276664201168387e+03,5.075833502230074146e+01
9.908276687423398471e+03,5.076816725302604283e+01
9.908276710645628555e+03,5.077800034379339422e+01
9.908276733867856819e+03,5.078783429379673464e+01
9.908276757090086903e+03,5.079766910454102913e+01
9.908276780312316987e+03,5.080750477522023800e+01
9.908276803534547071e+03,5.081734130579869912e+01
9.908276826756775336e+03,5.082717869547013834e+01
9.908276849979005419e+03,5.083701694573990437e+01
9.908276873201235503e+03,5.084685605580180123e+01
9.908276896423465587e+03,5.085669602562008151e+01
9.908276919645693852e+03,5.086653685438824368e+01
9.908276942867923935e+03,5.087637854361211254e+01
9.908276966090154019e+03,5.088622109248527181e+01
9.908276989312384103e+03,5.089606450097188173e+01
9.908277012534612368e+03,5.090590876826519917e+01
9.908277035756842452e+03,5.091575389587161737e+01
9.908277058979072535e+03,5.092559988298435769e+01
9.908277082201302619e+03,5.093544672956767272e+01
9.908277105423530884e+03,5.094529443481440723e+01
9.908277128645760968e+03,5.095514300023155840e+01
9.908277151867991051e+03,5.096499242501205629e+01
9.908277175090221135e+03,5.097484270912016768e+01
9.908277198312449400e+03,5.098469385174838209e+01
9.908277221534679484e+03,5.099454585440432197e+01
9.908277244756909568e+03,5.100439871628051947e+01
9.908277267979139651e+03,5.101425243734129822e+01
9.908277291201367916e+03,5.102410701677888483e+01
9.908277314423598000e+03,5.103396245610139204e+01
9.908277337645828084e+03,5.104381875450108907e+01
9.908277360868058167e+03,5.105367591194226407e+01
9.908277384090286432e+03,5.106353392761687360e+01
9.908277407312516516e+03,5.107339280303355622e+01
9.908277430534746600e+03,5.108325253738430405e+01
9.908277453756976684e+03,5.109311313063339810e+01
9.908277476979204948e+03,5.110297458197250364e+01
9.908277500201435032e+03,5.111283689291075660e+01
9.908277523423665116e+03,5.112270006263993594e+01
9.908277546645895200e+03,5.113256409112424450e+01
9.908277569868123464e+03,5.114242897755511308e+01
9.908277593090353548e+03,5.115229472344218919e+01
9.908277616312583632e+03,5.116216132797693916e+01
9.908277639534813716e+03,5.117202879112359426e+01
9.908277662757041981e+03,5.118189711207330106e+01
9.908277685979272064e+03,5.119176629233617604e+01
9.908277709201502148e+03,5.120163633110350077e+01
9.908277732423732232e+03,5.121150722833937152e+01
9.908277755645960497e+03,5.122137898323478566e+01
9.908277778868190580e+03,5.123125159730030731e+01
9.908277802090420664e+03,5.124112506972692671e+01
9.908277825312650748e+03,5.125099940047880409e+01
9.908277848534879013e+03,5.126087458874651759e+01
9.908277871757109097e+03,5.127075063604130634e+01
9.908277894979339180e+03,5.128062754155380532e+01
9.908277918201569264e+03,5.129050530524818186e+01
9.908277941423797529e+03,5.130038392631472277e+01
9.908277964646027613e+03,5.131026340626517168e+01
9.908277987868257696e+03,5.132014374428992198e+01
9.908278011090487780e+03,5.133002494035309837e+01
9.908278034312716045e+03,5.133990699364470345e+01
9.908278057534946129e+03,5.134978990567705637e+01
9.908278080757176213e+03,5.135967367564023078e+01
9.908278103979406296e+03,5.136955830349831587e+01
9.908278127201634561e+03,5.137944378844109394e+01
9.908278150423864645e+03,5.138933013198133892e+01
9.908278173646094729e+03,5.139921733330888287e+01
9.908278196868324812e+03,5.140910539238783628e+01
9.908278220090553077e+03,5.141899430840764040e+01
9.908278243312783161e+03,5.142888408288159496e+01
9.908278266535013245e+03,5.143877471499930465e+01
9.908278289757243328e+03,5.144866620472478047e+01
9.908278312979471593e+03,5.145855855124728606e+01
9.908278336201701677e+03,5.146845175608058298e+01
9.908278359423931761e+03,5.147834581841402724e+01
9.908278382646161845e+03,5.148824073821159431e+01
9.908278405868390109e+03,5.149813651466226361e+01
9.908278429090620193e+03,5.150803314928034382e+01
9.908278452312850277e+03,5.151793064125483568e+01
9.908278475535080361e+03,5.152782899054980703e+01
9.908278498757308625e+03,5.153772819635389624e+01
9.908278521979538709e+03,5.154762826018200172e+01
9.908278545201768793e+03,5.155752918122271922e+01
9.908278568423998877e+03,5.156743095944022315e+01
9.908278591646227142e+03,5.157733359402281081e+01
9.908278614868457225e+03,5.158723708648590645e+01
9.908278638090687309e+03,5.159714143601788550e+01
9.908278661312917393e+03,5.160704664258284424e+01
9.908278684535145658e+03,5.161695270536883129e+01
9.908278707757375741e+03,5.162685962589171851e+01
9.908278730979605825e+03,5.163676740333972504e+01
9.908278754201835909e+03,5.164667603767684056e+01
9.908278777424064174e+03,5.165658552809087212e+01
9.908278800646294258e+03,5.166649587609822447e+01
9.908278823868524341e+03,5.167640708088679702e+01
9.908278847090754425e+03,5.168631914242059366e+01
9.908278870312982690e+03,5.169623205988714432e+01
9.908278893535212774e+03,5.170614583480338666e+01
