Time (BJD_TBD - 2450000), F_planets/F_star (ppm)
1.027316210753386076e+04,6.537505493250494055e+02
1.027316219381332303e+04,6.536170824149888858e+02
1.027316228009278348e+04,6.534836671927203042e+02
1.027316236637224574e+04,6.533503036640410073e+02
1.027316245265170619e+04,6.532169918459909468e+02
1.027316253893116846e+04,6.530837317443586016e+02
1.027316262521062890e+04,6.529505233761660747e+02
1.027316271149009117e+04,6.528173667471930912e+02
1.027316279776955162e+04,6.526842618744445872e+02
1.027316288404901206e+04,6.525512087664960745e+02
1.027316297032847433e+04,6.524182074319209050e+02
1.027316305660793478e+04,6.522852578876974121e+02
1.027316314288739704e+04,6.521523601395833794e+02
1.027316322916685749e+04,6.520195142045398597e+02
1.027316331544631976e+04,6.518867200883157693e+02
1.027316340172578020e+04,6.517539778078539712e+02
1.027316348800524247e+04,6.516212873688949685e+02
1.027316357428470292e+04,6.514886487883649124e+02
1.027316366056416518e+04,6.513560620719945291e+02
1.027316374684362563e+04,6.512235272366922345e+02
1.027316383312308608e+04,6.510910442909731728e+02
1.027316391940254834e+04,6.509586132433499870e+02
1.027316400568200879e+04,6.508262341107049451e+02
1.027316409196147106e+04,6.506939068987474002e+02
1.027316417824093151e+04,6.505616316243408619e+02
1.027316426452039377e+04,6.504294082931863841e+02
1.027316435079985422e+04,6.502972369221306508e+02
1.027316443707931649e+04,6.501651175168650525e+02
1.027316452335877693e+04,6.500330500942187655e+02
1.027316460963823920e+04,6.499010346598748811e+02
1.027316469591769965e+04,6.497690712306444993e+02
1.027316478219716009e+04,6.496371598149821693e+02
1.027316486847662236e+04,6.495053004213403938e+02
1.027316495475608281e+04,6.493734930665040110e+02
1.027316504103554507e+04,6.492417377561339435e+02
1.027316512731500552e+04,6.491100345069976356e+02
1.027316521359446779e+04,6.489783833247470284e+02
1.027316529987392823e+04,6.488467842261318310e+02
1.027316538615339050e+04,6.487152372167948897e+02
1.027316547243285095e+04,6.485837423134689743e+02
1.027316555871231321e+04,6.484522995217876087e+02
1.027316564499177366e+04,6.483209088584660549e+02
1.027316573127123593e+04,6.481895703291291966e+02
1.027316581755069637e+04,6.480582839504739923e+02
1.027316590383015682e+04,6.479270497308831409e+02
1.027316599010961909e+04,6.477958676787378636e+02
1.027316607638907954e+04,6.476647378107076065e+02
1.027316616266854180e+04,6.475336601323963350e+02
1.027316624894800225e+04,6.474026346604565560e+02
1.027316633522746451e+04,6.472716614004829125e+02
1.027316642150692496e+04,6.471407403691099489e+02
1.027316650778638723e+04,6.470098715719235543e+02
1.027316659406584768e+04,6.468790550255414473e+02
1.027316668034530994e+04,6.467482907355398538e+02
1.027316676662477039e+04,6.466175787185185300e+02
1.027316685290423084e+04,6.464869189827999207e+02
1.027316693918369310e+04,6.463563115367031742e+02
1.027316702546315355e+04,6.462257563968016711e+02
1.027316711174261582e+04,6.460952535686503779e+02
1.027316719802207626e+04,6.459648030688040308e+02
1.027316728430153853e+04,6.458344049028087284e+02
1.027316737058099898e+04,6.457040590872023813e+02
1.027316745686046124e+04,6.455737656275215386e+02
1.027316754313992169e+04,6.454435245402862620e+02
1.027316762941938396e+04,6.453133358310249150e+02
1.027316771569884440e+04,6.451831995162393696e+02
1.027316780197830667e+04,6.450531156014487806e+02
1.027316788825776712e+04,6.449230841031381942e+02
1.027316797453722756e+04,6.447931050295568411e+02
1.027316806081668983e+04,6.446631783889529288e+02
1.027316814709615028e+04,6.445333041977843322e+02
1.027316823337561254e+04,6.444034824615480375e+02
1.027316831965507299e+04,6.442737131966841844e+02
1.027316840593453526e+04,6.441439964086808914e+02
1.027316849221399571e+04,6.440143321139603358e+02
1.027316857849345797e+04,6.438847203180021097e+02
1.027316866477291842e+04,6.437551610372108826e+02
1.027316875105238068e+04,6.436256542770564693e+02
1.027316883733184113e+04,6.434962000539263727e+02
1.027316892361130158e+04,6.433667983760094558e+02
1.027316900989076385e+04,6.432374492514919666e+02
1.027316909617022429e+04,6.431081526967344644e+02
1.027316918244968656e+04,6.429789087171849360e+02
1.027316926872914701e+04,6.428497173291860918e+02
1.027316935500860927e+04,6.427205785381767100e+02
1.027316944128806972e+04,6.425914923604821070e+02
1.027316952756753199e+04,6.424624588015318523e+02
1.027316961384699243e+04,6.423334778776331859e+02
