Time (BJD_TBD - 2450000), F_star + F_b (mJy)
1.013200645919236558e+04,2.739234363040788267e+00
1.013200647996411863e+04,2.739234363040788267e+00
1.013200650073587167e+04,2.739234363040788267e+00
1.013200652150762471e+04,2.739234363040788267e+00
1.013200654227937775e+04,2.739234363040788267e+00
1.013200656305113080e+04,2.739234363040788267e+00
1.013200658382288384e+04,2.739234363040788267e+00
1.013200660459463688e+04,2.739234363040788267e+00
1.013200662536638993e+04,2.739234363040788267e+00
1.013200664613814297e+04,2.739234363040788267e+00
1.013200666690989783e+04,2.739234363040788267e+00
1.013200668768165087e+04,2.739234363040788267e+00
1.013200670845340392e+04,2.739234363040788267e+00
1.013200672922515696e+04,2.739234363040788267e+00
1.013200674999691000e+04,2.739234363040788267e+00
1.013200677076866305e+04,2.739234363040788267e+00
1.013200679154041609e+04,2.739234363040788267e+00
1.013200681231216913e+04,2.739234363040788267e+00
1.013200683308392217e+04,2.739234363040788267e+00
1.013200685385567522e+04,2.739234363040788267e+00
1.013200687462742826e+04,2.739234363040788267e+00
1.013200689539918130e+04,2.739234363040788267e+00
1.013200691617093435e+04,2.739234363040788267e+00
1.013200693694268739e+04,2.739234363040788267e+00
1.013200695771444043e+04,2.739234363040788267e+00
1.013200697848619347e+04,2.739234363040788267e+00
1.013200699925794652e+04,2.739234363040788267e+00
1.013200702002969956e+04,2.739234363040788267e+00
1.013200704080145260e+04,2.739234363040788267e+00
1.013200706157320565e+04,2.739234363040788267e+00
1.013200708234495869e+04,2.739234363040788267e+00
1.013200710311671173e+04,2.739234363040788267e+00
1.013200712388846478e+04,2.739234363040788267e+00
1.013200714466021782e+04,2.739234363040788267e+00
1.013200716543197086e+04,2.739234363040788267e+00
1.013200718620372390e+04,2.739234363040788267e+00
1.013200720697547695e+04,2.739234363040788267e+00
1.013200722774722999e+04,2.739234363040788267e+00
1.013200724851898303e+04,2.739234363040788267e+00
1.013200726929073608e+04,2.739234363040788267e+00
1.013200729006248912e+04,2.739234363040788267e+00
1.013200731083424216e+04,2.739234363040788267e+00
1.013200733160599702e+04,2.739234363040788267e+00
1.013200735237775007e+04,2.739234363040788267e+00
1.013200737314950311e+04,2.739234363040788267e+00
1.013200739392125615e+04,2.739234363040788267e+00
1.013200741469300920e+04,2.739234363040788267e+00
1.013200743546476224e+04,2.739234363040788267e+00
1.013200745623651528e+04,2.739234363040788267e+00
1.013200747700826832e+04,2.739234363040788267e+00
1.013200749778002137e+04,2.739234363040788267e+00
1.013200751855177441e+04,2.739234363040788267e+00
1.013200753932352745e+04,2.739234363040788267e+00
1.013200756009528050e+04,2.739234363040788267e+00
1.013200758086703354e+04,2.739234363040788267e+00
1.013200760163878658e+04,2.739234363040788267e+00
1.013200762241053962e+04,2.739234363040788267e+00
1.013200764318229267e+04,2.739234363040788267e+00
1.013200766395404571e+04,2.739234363040788267e+00
1.013200768472579875e+04,2.739234363040788267e+00
1.013200770549755180e+04,2.739234363040788267e+00
1.013200772626930484e+04,2.739234363040788267e+00
1.013200774704105788e+04,2.739234363040788267e+00
1.013200776781281093e+04,2.739234363040788267e+00
1.013200778858456397e+04,2.739234363040788267e+00
1.013200780935631701e+04,2.739234363040788267e+00
1.013200783012807005e+04,2.739234363040788267e+00
1.013200785089982310e+04,2.739234363040788267e+00
1.013200787167157614e+04,2.739234363040788267e+00
1.013200789244332918e+04,2.739234363040788267e+00
1.013200791321508223e+04,2.739234363040788267e+00
1.013200793398683527e+04,2.739234363040788267e+00
1.013200795475858831e+04,2.739234363040788267e+00
1.013200797553034317e+04,2.739234363040788267e+00
1.013200799630209622e+04,2.739234363040788267e+00
1.013200801707384926e+04,2.739234363040788267e+00
1.013200803784560230e+04,2.739234363040788267e+00
1.013200805861735535e+04,2.739234363040788267e+00
1.013200807938910839e+04,2.739234363040788267e+00
1.013200810016086143e+04,2.739234363040788267e+00
1.013200812093261447e+04,2.739234363040788267e+00
1.013200814170436752e+04,2.739234363040788267e+00
1.013200816247612056e+04,2.739234363040788267e+00
1.013200818324787360e+04,2.739234363040788267e+00
1.013200820401962665e+04,2.739234363040788267e+00
1.013200822479137969e+04,2.739234363040788267e+00
1.013200824556313273e+04,2.739234363040788267e+00
1.013200826633488577e+04,2.739234363040788267e+00
1.013200828710663882e+04,2.739234363040788267e+00
1.013200830787839186e+04,2.739234363040788267e+00
1.013200832865014490e+04,2.739234363040788267e+00
1.013200834942189795e+04,2.739234363040788267e+00
1.013200837019365099e+04,2.739234363040788267e+00
1.013200839096540403e+04,2.739234363040788267e+00
1.013200841173715708e+04,2.739234363040788267e+00
1.013200843250891012e+04,2.739234363040788267e+00
1.013200845328066316e+04,2.739234363040788267e+00
1.013200847405241620e+04,2.739234363040788267e+00
1.013200849482416925e+04,2.739234363040788267e+00
1.013200851559592229e+04,2.739234363040788267e+00
1.013200853636767533e+04,2.739234363040788267e+00
1.013200855713942838e+04,2.739234363040788267e+00
1.013200857791118142e+04,2.739234363040788267e+00
1.013200859868293446e+04,2.739234363040788267e+00
1.013200861945468932e+04,2.739234363040788267e+00
1.013200864022644237e+04,2.739234363040788267e+00
1.013200866099819541e+04,2.739234363040788267e+00
1.013200868176994845e+04,2.739234363040788267e+00
1.013200870254170150e+04,2.739234363040788267e+00
1.013200872331345454e+04,2.739234363040788267e+00
1.013200874408520758e+04,2.739234363040788267e+00
1.013200876485696062e+04,2.739234363040788267e+00
1.013200878562871367e+04,2.739234363040788267e+00
1.013200880640046671e+04,2.739234363040788267e+00
1.013200882717221975e+04,2.739234363040788267e+00
1.013200884794397280e+04,2.739234363040788267e+00
1.013200886871572584e+04,2.739234363040788267e+00
1.013200888948747888e+04,2.739234363040788267e+00
1.013200891025923193e+04,2.739234363040788267e+00
1.013200893103098497e+04,2.739234363040788267e+00
1.013200895180273801e+04,2.739234363040788267e+00
1.013200897257449105e+04,2.739234363040788267e+00
1.013200899334624410e+04,2.739234363040788267e+00
1.013200901411799714e+04,2.739234363040788267e+00
1.013200903488975018e+04,2.739234363040788267e+00
1.013200905566150323e+04,2.739234363040788267e+00
1.013200907643325627e+04,2.739234363040788267e+00
1.013200909720500931e+04,2.739234363040788267e+00
1.013200911797676235e+04,2.739234363040788267e+00
1.013200913874851540e+04,2.739234363040788267e+00
1.013200915952026844e+04,2.739234363040788267e+00
1.013200918029202148e+04,2.739234363040788267e+00
1.013200920106377453e+04,2.739234363040788267e+00
1.013200922183552757e+04,2.739234363040788267e+00
1.013200924260728061e+04,2.739234363040788267e+00
1.013200926337903547e+04,2.739234363040788267e+00
1.013200928415078852e+04,2.739234363040788267e+00
1.013200930492254156e+04,2.739234363040788267e+00
1.013200932569429460e+04,2.739234363040788267e+00
1.013200934646604765e+04,2.739234363040788267e+00
1.013200936723780069e+04,2.739234363040788267e+00
1.013200938800955373e+04,2.739234363040788267e+00
1.013200940878130677e+04,2.739234363040788267e+00
1.013200942955305982e+04,2.739234363040788267e+00
1.013200945032481286e+04,2.739234363040788267e+00
1.013200947109656590e+04,2.739234363040788267e+00
1.013200949186831895e+04,2.739234363040788267e+00
1.013200951264007199e+04,2.739234363040788267e+00
1.013200953341182503e+04,2.739234363040788267e+00
1.013200955418357808e+04,2.739234363040788267e+00
1.013200957495533112e+04,2.739234363040788267e+00
1.013200959572708416e+04,2.739234363040788267e+00
1.013200961649883720e+04,2.739234363040788267e+00
1.013200963727059025e+04,2.739234363040788267e+00
1.013200965804234329e+04,2.739234363040788267e+00
1.013200967881409633e+04,2.739234363040788267e+00
1.013200969958584938e+04,2.739234363040788267e+00
1.013200972035760242e+04,2.739234363040788267e+00
1.013200974112935546e+04,2.739234363040788267e+00
1.013200976190110850e+04,2.739234363040788267e+00
1.013200978267286155e+04,2.739234363040788267e+00
1.013200980344461459e+04,2.739234363040788267e+00
1.013200982421636763e+04,2.739234363040788267e+00
1.013200984498812068e+04,2.739234363040788267e+00
1.013200986575987372e+04,2.739234363040788267e+00
1.013200988653162676e+04,2.739234363040788267e+00
1.013200990730337980e+04,2.739234363040788267e+00
1.013200992807513467e+04,2.739234363040788267e+00
1.013200994884688771e+04,2.739234363040788267e+00
1.013200996961864075e+04,2.739234363040788267e+00
1.013200999039039380e+04,2.739234363040788267e+00
1.013201001116214684e+04,2.739234363040788267e+00
1.013201003193389988e+04,2.739234363040788267e+00
1.013201005270565292e+04,2.739234363040788267e+00
1.013201007347740597e+04,2.739234363040788267e+00
1.013201009424915901e+04,2.739234363040788267e+00
1.013201011502091205e+04,2.739234363040788267e+00
1.013201013579266510e+04,2.739234363040788267e+00
1.013201015656441814e+04,2.739234363040788267e+00
1.013201017733617118e+04,2.739234363040788267e+00
1.013201019810792423e+04,2.739234363040788267e+00
1.013201021887967727e+04,2.739234363040788267e+00
1.013201023965143031e+04,2.739234363040788267e+00
1.013201026042318335e+04,2.739234363040788267e+00
1.013201028119493640e+04,2.739234363040788267e+00
1.013201030196668944e+04,2.739234363040788267e+00
1.013201032273844248e+04,2.739234363040788267e+00
1.013201034351019553e+04,2.739234363040788267e+00
1.013201036428194857e+04,2.739234363040788267e+00
1.013201038505370161e+04,2.739234363040788267e+00
1.013201040582545465e+04,2.739234363040788267e+00
1.013201042659720770e+04,2.739234363040788267e+00
1.013201044736896074e+04,2.739234363040788267e+00
1.013201046814071378e+04,2.739234363040788267e+00
1.013201048891246683e+04,2.739234363040788267e+00
1.013201050968421987e+04,2.739234363040788267e+00
1.013201053045597291e+04,2.739234363040788267e+00
1.013201055122772595e+04,2.739234363040788267e+00
