Time (BJD_TBD - 2450000), F_b/F_star (ppm)
9.882508277914565042e+03,7.280542876716228875e+02
9.882508295930256281e+03,7.280774748961288196e+02
9.882508313945945702e+03,7.281006604441223544e+02
9.882508331961636941e+03,7.281238443201552855e+02
9.882508349977326361e+03,7.281470265194160447e+02
9.882508367993017600e+03,7.281702070464554026e+02
9.882508386008708840e+03,7.281933858988030579e+02
9.882508404024398260e+03,7.282165630739883682e+02
9.882508422040089499e+03,7.282397385765617628e+02
9.882508440055778919e+03,7.282629124017130380e+02
9.882508458071470159e+03,7.282860845539921684e+02
9.882508476087159579e+03,7.283092550285891775e+02
9.882508494102850818e+03,7.283324238300533580e+02
9.882508512118542058e+03,7.283555909559149768e+02
9.882508530134231478e+03,7.283787564037052107e+02
9.882508548149922717e+03,7.284019201779717605e+02
9.882508566165612137e+03,7.284250822739072646e+02
9.882508584181303377e+03,7.284482426960589692e+02
9.882508602196992797e+03,7.284714014396195125e+02
9.882508620212684036e+03,7.284945585091360272e+02
9.882508638228375276e+03,7.285177139021400308e+02
9.882508656244064696e+03,7.285408676161634958e+02
9.882508674259755935e+03,7.285640196557525314e+02
9.882508692275445355e+03,7.285871700161017088e+02
9.882508710291136595e+03,7.286103187017557730e+02
9.882508728306826015e+03,7.286334657079106591e+02
9.882508746322517254e+03,7.286566110391103166e+02
9.882508764338208493e+03,7.286797546928877409e+02
9.882508782353897914e+03,7.287028966667767236e+02
9.882508800369589153e+03,7.287260369653203043e+02
9.882508818385278573e+03,7.287491755837156688e+02
9.882508836400969813e+03,7.287723125265057433e+02
9.882508854416659233e+03,7.287954477888882820e+02
9.882508872432350472e+03,7.288185813754051878e+02
9.882508890448041711e+03,7.288417132835910479e+02
9.882508908463731132e+03,7.288648435109802222e+02
9.882508926479422371e+03,7.288879720621137039e+02
9.882508944495111791e+03,7.289110989321916350e+02
9.882508962510803030e+03,7.289342241257537580e+02
9.882508980526492451e+03,7.289573476380010106e+02
9.882508998542183690e+03,7.289804694734727946e+02
9.882509016557874929e+03,7.290035896297042655e+02
9.882509034573564350e+03,7.290267081042320569e+02
9.882509052589255589e+03,7.290498249015945476e+02
9.882509070604945009e+03,7.290729400169938117e+02
9.882509088620636248e+03,7.290960534549680006e+02
9.882509106636325669e+03,7.291191652107197569e+02
9.882509124652016908e+03,7.291422752887868910e+02
9.882509142667708147e+03,7.291653836867054679e+02
9.882509160683397567e+03,7.291884904020132581e+02
9.882509178699088807e+03,7.292115954392464801e+02
9.882509196714778227e+03,7.292346987936097094e+02
9.882509214730469466e+03,7.292578004696385960e+02
9.882509232746158887e+03,7.292809004625386251e+02
9.882509250761850126e+03,7.293039987768446508e+02
9.882509268777541365e+03,7.293270954100946710e+02
9.882509286793230785e+03,7.293501903598273657e+02
9.882509304808922025e+03,7.293732836305764522e+02
9.882509322824611445e+03,7.293963752175492345e+02
9.882509340840302684e+03,7.294194651252793165e+02
9.882509358855992105e+03,7.294425533489737745e+02
9.882509376871683344e+03,7.294656398931659851e+02
9.882509394887374583e+03,7.294887247553948555e+02
9.882509412903064003e+03,7.295118079332000889e+02
9.882509430918755243e+03,7.295348894311136974e+02
9.882509448934444663e+03,7.295579692443451449e+02
