Time (BJD_TBD - 2450000), F_d/F_star (ppm)
1.014846688598709989e+04,7.582417104311497957e-02
1.014846690686187139e+04,7.594685641722512259e-02
1.014846692773664472e+04,7.606964093592591403e-02
1.014846694861141805e+04,7.619252458841156705e-02
1.014846696948618956e+04,7.631550736384479228e-02
1.014846699036096288e+04,7.643858928351161819e-02
1.014846701123573621e+04,7.656177033657475539e-02
1.014846703211050772e+04,7.668505051216542578e-02
1.014846705298528104e+04,7.680842983162215754e-02
1.014846707386005255e+04,7.693190827333336312e-02
1.014846709473482588e+04,7.705548585869012590e-02
1.014846711560959920e+04,7.717916257678160419e-02
1.014846713648437071e+04,7.730293841671803667e-02
1.014846715735914404e+04,7.742681339992195377e-02
1.014846717823391737e+04,7.755078751549306093e-02
1.014846719910868887e+04,7.767486075247856392e-02
1.014846721998346220e+04,7.779903313236401219e-02
1.014846724085823553e+04,7.792330464422810021e-02
1.014846726173300704e+04,7.804767527709703667e-02
1.014846728260778036e+04,7.817214505249837908e-02
1.014846730348255187e+04,7.829671394863151057e-02
1.014846732435732520e+04,7.842138198705553287e-02
1.014846734523209852e+04,7.854614915680711851e-02
1.014846736610687003e+04,7.867101544685996262e-02
1.014846738698164336e+04,7.879598087883613045e-02
1.014846740785641668e+04,7.892104544175133907e-02
1.014846742873118819e+04,7.904620912453723391e-02
1.014846744960596152e+04,7.917147194889992412e-02
1.014846747048073485e+04,7.929683390379209385e-02
1.014846749135550635e+04,7.942229497814541628e-02
1.014846751223027968e+04,7.954785519369747537e-02
1.014846753310505119e+04,7.967351452843766946e-02
1.014846755397982452e+04,7.979927300412456570e-02
1.014846757485459784e+04,7.992513060967935956e-02
1.014846759572936935e+04,8.005108733400223553e-02
1.014846761660414268e+04,8.017714319890427432e-02
1.014846763747891600e+04,8.030329819327516883e-02
1.014846765835368751e+04,8.042955230599407868e-02
1.014846767922846084e+04,8.055590555892462590e-02
1.014846770010323416e+04,8.068235794093546465e-02
1.014846772097800567e+04,8.080890944085328265e-02
1.014846774185277900e+04,8.093556008061518481e-02
1.014846776272755051e+04,8.106230983801100687e-02
1.014846778360232383e+04,8.118915873498840086e-02
